# fixture: graded_roundtrip
# The tool's own version-4 output for the grades_mixed wafer. Re-running on
# this file must reproduce it byte for byte below these note lines, and
# marked_region() must recover row=3 col=4. Exercises all four in-region good
# glyphs (A/B/C/D) and the row labels on the parse side.
# expect: row=3 col=4 good=70 g4=21 g3=18 g2=11 g1=20 defect=23 overhang=0
# yield_max 4  region=row3,col4 center=I10 tiebreak=grade
# good=70 (g4=21 g3=18 g2=11 g1=20) defect=23 overhang=0 sites=93 yield=75.3%
# in-region: D=good4 C=good3 B=good2 A=good1 *=defect -=overhang   outside: 4/3/2/1=good X=defect .=absent
#          11111111
# 12345678901234567
A .....23X2214.....
B ...3X33114X343...
C ..X331X4113XX13..
D .3X43X1D*D*C1413.
E .X3433*CCDB*B3XX.
F 12X13AB*AAB**D212
G 432XAD*DD*BBAAC14
H X23XDD*AA*CD*CD4X
I 1X3XA*A*AACCADD34
J 1343DAAACB***C*X2
K X2142CDD*DAC*B3X1
L .1X42*BACACB**X2.
M .32XX3BDDCCDC33X.
O ..323324CDAX333..
P ...2X121X3X414...
Q ....32133142X....
R .......3124......
