# invalid fixture: mixed_labels
# expect: MixedRowLabels -- row 9 carries no label while every row above it
# does. A partial set of labels means the file was assembled from pieces,
# which is exactly the case the labels exist to catch.
A .....1111111.....
B ...XX111111XXX...
C ..X11X111X1X111..
D .XXX1111111X111X.
E .XXXX1111XX11X1X.
F XXXXX1X111111XX1X
G XXXXXX1111111X1XX
H X1X111X1X1X11X1XX
XXX1XXXXXXX111XXX
J 1XX1XXX1X11X11XX1
K XXXXXXXXX1111X11X
L .11XXXXX11111X11.
M .X1XXX1X11111XXX.
O ..1XX1XXXXX1111..
P ...XXXXXXXXXXX...
Q ....X11111X1X....
R .......XXXX......
